"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12","10nf","~","Capacitor_SMD:C_0805_2012Metric","12",""
"C13,C14","22pF","~","Capacitor_SMD:C_0805_2012Metric","2",""
"C15,C16,C17,C18,C21,C22,C23,C24","100nF","~","Capacitor_SMD:C_0805_2012Metric","8",""
"C19,C20,C25,C26,C27","865080645012","~","Capacitor_SMD:CP_Elec_6.3x7.7","5",""
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14","P4SMAJ14A","~","Diode_SMD:D_SMA","14",""
"D15,D17,D19,D20,D23,D24,D25,D26,D31,D32,D33,D34,D40","D5V0S1UN2LP1610","~","Diode_SMD:D_0603_1608Metric","13",""
"D16,D18,D21,D22,D27,D28,D29,D30,D35,D36,D37,D38,D39","BAT54GWJ","~","Diode_SMD:D_SOD-123","13",""
"J1","Conn_02x03_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1",""
"J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J29","Screw_Terminal_01x03","~","TerminalBlock_Altech:Altech_AK100_1x03_P5.00mm","24",""
"J25","Conn_01x04","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J26","Conn_01x09","~","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","1",""
"J27","Conn_01x03","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J28","Conn_01x02","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14","G5V-1","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g5v_1.pdf","Relay_THT:Relay_SPDT_Omron_G5V-1","14",""
"Q1,Q2,Q3,Q4,Q5,Q6,Q7","DMN3190LDW","https://www.diodes.com/assets/Datasheets/DMN3190LDW.pdf","Package_TO_SOT_SMD:SOT-363_SC-70-6","7",""
"R1,R2,R5,R8,R9,R12,R13,R14,R19,R20,R21,R22,R27,R28,R30,R33,R37,R38,R45,R46,R47,R48,R57,R58,R59,R60","1K","~","Resistor_SMD:R_0805_2012Metric","26",""
"R3,R4,R6,R7,R10,R11,R15,R16,R17,R18,R23,R24,R25,R26,R32,R41,R42,R43,R44,R53,R54,R55,R56","100K","~","Resistor_SMD:R_0805_2012Metric","23",""
"R29,R34,R39,R40,R49,R50,R51,R52,R61,R62,R63,R64,R69","10R","~","Resistor_SMD:R_0805_2012Metric","13",""
"R31","27R","~","Resistor_SMD:R_0805_2012Metric","1",""
"R35,R36,R65,R66,R67","10K","~","Resistor_SMD:R_0805_2012Metric","5",""
"R68","4K7","~","Resistor_SMD:R_0805_2012Metric","1",""
"U1","ADS1115IDGS","http://www.ti.com/lit/ds/symlink/ads1113.pdf","Package_SO:TSSOP-10_3x3mm_P0.5mm","1",""
"U2","ATmega2560-16A","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-2549-8-bit-AVR-Microcontroller-ATmega640-1280-1281-2560-2561_datasheet.pdf","Package_QFP:TQFP-100_14x14mm_P0.5mm","1",""
"U3","L7805","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_THT:TO-220F-3_Vertical","1",""
"Y1","Crystal","ABLS7M-16.000MHZ-B-2-T","Crystal:Crystal_SMD_ECS_CSM3X-2Pin_7.6x4.1mm","1",""
